"Date","Egypt, RETAIL, National Average, Milk (fresh), EGP/Liter","Egypt, RETAIL, National Average, Milk (fresh), USD/Liter","Egypt, RETAIL, National Average, Milk (fresh), EGP-real/Liter"
"12/01/2024","31.65","0.63","4.59"
"11/01/2024","31.14","0.63","4.61"
"10/01/2024","30.89","0.64","4.67"
"09/01/2024","30.47","0.63","4.69"
"08/01/2024","30.18","0.62","4.46"
"07/01/2024","30.02","0.62","4.55"
"06/01/2024","29.98","0.63","4.65"
"05/01/2024","29.94","0.64","4.75"
"04/01/2024","30.15","0.63","4.9"
"03/01/2024","29.7","0.65","4.88"
"02/01/2024","29","0.94","4.81"
"01/01/2024","26.13","0.85","4.83"
"12/01/2023","25.37","0.82","4.76"
"11/01/2023","24.72","0.8","4.7"
"10/01/2023","24.07","0.78","4.64"
"09/01/2023","23.62","0.77","4.6"
"08/01/2023","22.42","0.73","4.45"
"07/01/2023","21.57","0.7","4.35"
"06/01/2023","21.18","0.69","4.35"
"05/01/2023","20.9","0.68","4.38"
"04/01/2023","20.11","0.65","4.33"
"03/01/2023","19.89","0.65","4.76"
"02/01/2023","19.38","0.64","4.71"
"01/01/2023","18.31","0.64","4.52"
"12/01/2022","16.89","0.69","4.24"
"11/01/2022","15.58","0.64","3.99"
"10/01/2022","14.96","0.74","3.92"
"09/01/2022","14.52","0.75","3.9"
"08/01/2022","14.08","0.74","3.84"
"07/01/2022","13.72","0.73","3.78"
"06/01/2022","13.65","0.73","3.81"
"05/01/2022","13.51","0.74","3.76"
"04/01/2022","13.28","0.8","3.74"
"03/01/2022","13.16","0.84","3.77"
"02/01/2022","12.67","0.81","3.72"
"01/01/2022","12.57","0.8","3.76"
"12/01/2021","12.53","0.8","3.79"
"11/01/2021","12.49","0.8","3.77"
"10/01/2021","14.9","0.95","4.5"
"09/01/2021","14.91","0.95","4.58"
"08/01/2021","14.91","0.95","4.65"
"07/01/2021","14.91","0.95","4.64"
"06/01/2021","14.91","0.95","4.69"
"05/01/2021","14.91","0.95","4.71"
"04/01/2021","14.91","0.95","4.74"
"03/01/2021","14.84","0.95","4.77"
"02/01/2021","14.76","0.95","4.77"
"01/01/2021","14.71","0.94","4.76"
"12/01/2020","14.71","0.94","4.74"
"11/01/2020","14.69","0.94","4.71"
"10/01/2020","14.66","0.94","4.74"
"09/01/2020","14.51","0.92","4.78"
"08/01/2020","14.48","0.91","4.78"
"07/01/2020","14.48","0.91","4.77"
"06/01/2020","14.52","0.9","4.81"
"05/01/2020","14.52","0.92","4.81"
"04/01/2020","14.52","0.92","4.81"
"03/01/2020","14.52","0.93","4.87"
"02/01/2020","14.52","0.93","4.9"
"01/01/2020","14.52","0.92","4.9"
"12/01/2019","14.52","0.91","4.93"
"11/01/2019","14.52","0.9","4.92"
"10/01/2019","14.52","0.9","4.91"
"09/01/2019","14.52","0.89","4.96"
"08/01/2019","14.52","0.88","4.96"
"07/01/2019","14.52","0.88","4.99"
"06/01/2019","14.52","0.87","5.08"
"05/01/2019","14.52","0.86","5.04"
"04/01/2019","14.52","0.84","5.09"
"03/01/2019","14.52","0.84","5.12"
"02/01/2019","14.52","0.83","5.16"
"01/01/2019","14.19","0.8","5.13"
"12/01/2018","14.28","0.8","5.19"
"11/01/2018","14.28","0.8","5.02"
"10/01/2018","14","0.78","4.88"
"09/01/2018","14","0.78","5.01"
"08/01/2018","14","0.79","5.14"
"07/01/2018","14","0.78","5.23"
"06/01/2018","14","0.79","5.35"
"05/01/2018","13.5","0.76","5.34"
"04/01/2018","13","0.74","5.15"
"03/01/2018","13","0.74","5.23"
"02/01/2018","13","0.74","5.28"
"01/01/2018","13","0.74","5.3"
"12/01/2017","13","0.73","5.3"
"11/01/2017","13","0.74","5.28"
"10/01/2017","12","0.68","4.92"
"09/01/2017","12","0.68","4.98"
"08/01/2017","12","0.68","5.03"
"07/01/2017","12","0.67","5.09"
"06/01/2017","11","0.61","4.81"
"05/01/2017","10.25","0.57","4.52"
"04/01/2017","10.25","0.57","4.6"
"03/01/2017","10.25","0.58","4.67"
"02/01/2017","10.25","0.61","4.76"
"01/01/2017","9.75","0.52","4.65"
