"Date","Indonesia, RETAIL, National Average, Wheat (flour), IDR/Kg","Indonesia, RETAIL, National Average, Sugar, IDR/Kg","Indonesia, RETAIL, National Average, Rice, IDR/Kg","Indonesia, RETAIL, National Average, Eggs, IDR/Kg","Indonesia, RETAIL, National Average, Chili (red), IDR/Kg","Indonesia, RETAIL, National Average, Chili (bird's eye), IDR/Kg","Indonesia, RETAIL, National Average, Chicken (meat), IDR/Kg","Indonesia, RETAIL, National Average, Wheat (flour), IDR-real/Kg","Indonesia, RETAIL, National Average, Sugar, IDR-real/Kg","Indonesia, RETAIL, National Average, Rice, IDR-real/Kg","Indonesia, RETAIL, National Average, Eggs, IDR-real/Kg","Indonesia, RETAIL, National Average, Chili (red), IDR-real/Kg","Indonesia, RETAIL, National Average, Chili (bird's eye), IDR-real/Kg","Indonesia, RETAIL, National Average, Chicken (meat), IDR-real/Kg","Indonesia, RETAIL, National Average, Wheat (flour), USD/Kg","Indonesia, RETAIL, National Average, Sugar, USD/Kg","Indonesia, RETAIL, National Average, Rice, USD/Kg","Indonesia, RETAIL, National Average, Eggs, USD/Kg","Indonesia, RETAIL, National Average, Chili (red), USD/Kg","Indonesia, RETAIL, National Average, Chili (bird's eye), USD/Kg","Indonesia, RETAIL, National Average, Chicken (meat), USD/Kg"
"01/01/2025","12237","18249","14668","29872","59889","71536","38084","6946.15","10358.77","8326.07","16956.39","33995.08","40606.32","21617.8","0.75","1.12","0.9","1.84","3.68","4.4","2.34"
"12/01/2024","12263","18051","14616","29750","37000","42789","37635","6976.26","10268.98","8314.85","16924.39","21048.82","24342.1","21410.06","0.77","1.13","0.91","1.86","2.31","2.67","2.35"
"11/01/2024","12277","18036","14538","27815","28982","36434","37071","7000.67","10284.6","8289.95","15860.84","16526.3","20775.62","21138.86","0.78","1.14","0.92","1.76","1.83","2.3","2.34"
"10/01/2024","12310","18015","14599","27895","29931","41359","36608","7036.79","10297.95","8345.26","15945.68","17109.52","23642.14","20926.31","0.79","1.16","0.94","1.79","1.93","2.66","2.36"
"09/01/2024","12340","17942","14654","27783","33654","45019","36193","7070.94","10280.94","8396.88","15919.92","19284.06","25796.31","20738.93","0.8","1.17","0.96","1.81","2.19","2.93","2.36"
"08/01/2024","12323","17922","14670","28395","44223","59049","36557","7077.94","10293.82","8425.98","16309.18","25400.28","33915.86","20997.17","0.78","1.13","0.93","1.8","2.8","3.74","2.31"
"07/01/2024","12357","17947","14632","29202","45466","54059","37392","7112.9","10330.6","8422.43","16809.17","26171.01","31117.29","21523.48","0.76","1.1","0.9","1.8","2.8","3.32","2.3"
"06/01/2024","12431","18016","14471","29334","56477","45798","38278","7171.01","10392.8","8347.82","16921.76","32579.62","26419.27","22081.25","0.76","1.1","0.89","1.8","3.46","2.8","2.34"
"05/01/2024","12451","18154","14533","29812","54028","41915","39531","7197.69","10494.49","8401.26","17233.77","31232.59","24230.29","22852.14","0.77","1.13","0.9","1.85","3.36","2.61","2.46"
"04/01/2024","12467","17675","15089","29516","48608","45711","40209","7221.45","10238.16","8740.23","17097.01","28155.96","26477.89","23290.88","0.77","1.1","0.94","1.83","3.02","2.84","2.5"
"03/01/2024","12464","17399","15525","31421","66141","52983","39827","7234.98","10099.61","9011.8","18238.96","38392.9","30755.07","23118.4","0.79","1.11","0.99","2","4.21","3.37","2.54"
"02/01/2024","12512","17222","15209","28730","68592","49750","37748","7278.01","10017.74","8846.81","16711.75","39898.78","28938.72","21957.36","0.8","1.1","0.97","1.83","4.38","3.18","2.41"
"01/01/2024","12539","17140","14397","27735","57300","52819","37083","7308.66","9990.47","8391.65","16166.03","33398.71","30786.85","21614.74","0.8","1.1","0.92","1.78","3.67","3.38","2.38"
"12/01/2023","12642","17081","14290","28411","68714","72191","36698","7384.57","9977.53","8347.22","16595.72","40137.93","42168.95","21436.41","0.81","1.1","0.92","1.83","4.43","4.65","2.37"
"11/01/2023","13134","15937","14052","27253","68229","75648","41104","7703.69","9347.78","8242.14","15985.13","40019.43","44371.01","24109.38","0.84","1.02","0.9","1.75","4.37","4.84","2.63"
