"Date","Indonesia, RETAIL, National Average, Vegetable oil, IDR/Liter","Indonesia, RETAIL, National Average, Vegetable oil, USD/Liter","Indonesia, RETAIL, National Average, Vegetable oil, IDR-real/Liter"
"01/01/2025","19589","1.2","11119.4"
"12/01/2024","19152","1.2","10895.32"
"11/01/2024","18799","1.19","10719.68"
"10/01/2024","18680","1.2","10678.09"
"09/01/2024","18699","1.22","10714.7"
"08/01/2024","18616","1.18","10692.44"
"07/01/2024","18586","1.14","10698.42"
"06/01/2024","18608","1.14","10734.31"
"05/01/2024","18631","1.16","10770.24"
"04/01/2024","18622","1.16","10786.71"
"03/01/2024","18490","1.18","10732.9"
"02/01/2024","18389","1.17","10696.56"
"01/01/2024","18340","1.17","10689.92"
"12/01/2023","18409","1.19","10753.25"
"11/01/2023","18723","1.2","10981.9"
"10/01/2023","18853","1.2","11100.22"
"09/01/2023","18926","1.23","11162.51"
"08/01/2023","18997","1.25","11225.78"
"07/01/2023","19055","1.27","11258.1"
"06/01/2023","19117","1.28","11318.3"
"05/01/2023","19160","1.29","11359.56"
"04/01/2023","19177","1.29","11379.55"
"03/01/2023","19185","1.25","11422.28"
"02/01/2023","19201","1.27","11452.03"
"01/01/2023","19268","1.26","11510.09"
"12/01/2022","19960","1.28","11964.24"
"11/01/2022","19766","1.26","11925.65"
"10/01/2022","19675","1.28","11881.27"
"09/01/2022","20025","1.34","12079.99"
"08/01/2022","20553","1.38","12543.02"
"07/01/2022","21735","1.45","13236.79"
"06/01/2022","22942","1.56","14061.16"
"05/01/2022","23280","1.59","14354.9"
"04/01/2022","23548","1.64","14578.25"
"03/01/2022","20121","1.4","12574.05"
"02/01/2022","19349","1.35","12171.27"
"01/01/2022","21302","1.49","13397.3"
"12/01/2021","21125","1.47","13360.11"
"11/01/2021","19732","1.38","12550.16"
"10/01/2021","18296","1.29","11679.37"
"09/01/2021","17498","1.23","11183.59"
"08/01/2021","17135","1.19","10947.48"
"07/01/2021","16707","1.15","10677.04"
"06/01/2021","16645","1.16","10645.4"
"05/01/2021","16521","1.15","10549.26"
"04/01/2021","16184","1.11","10367.13"
"03/01/2021","15992","1.11","10257.64"
"02/01/2021","15911","1.13","10214.35"
"01/01/2021","15925","1.13","10233.95"
"12/01/2020","15792","1.11","10174.41"
"11/01/2020","15631","1.1","10115.67"
