"Date","Lebanon, RETAIL, South, Rice (Egyptian, imported), LBP/Kg","Lebanon, RETAIL, South, Potatoes, LBP/Kg","Lebanon, RETAIL, South, Lentils, LBP/Kg","Lebanon, RETAIL, South, Cabbage, LBP/Kg","Lebanon, RETAIL, South, Bulgur (Brown), LBP/Kg","Lebanon, RETAIL, South, Bread (Pita), LBP/Kg","Lebanon, RETAIL, North, Rice (Egyptian, imported), LBP/Kg","Lebanon, RETAIL, North, Potatoes, LBP/Kg","Lebanon, RETAIL, North, Lentils, LBP/Kg","Lebanon, RETAIL, North, Cabbage, LBP/Kg","Lebanon, RETAIL, North, Bulgur (Brown), LBP/Kg","Lebanon, RETAIL, North, Bread (Pita), LBP/Kg","Lebanon, RETAIL, El Nabatieh, Rice (Egyptian, imported), LBP/Kg","Lebanon, RETAIL, El Nabatieh, Potatoes, LBP/Kg","Lebanon, RETAIL, El Nabatieh, Lentils, LBP/Kg","Lebanon, RETAIL, El Nabatieh, Cabbage, LBP/Kg","Lebanon, RETAIL, El Nabatieh, Bulgur (Brown), LBP/Kg","Lebanon, RETAIL, El Nabatieh, Bread (Pita), LBP/Kg","Lebanon, RETAIL, Beirut, Rice (Egyptian, imported), LBP/Kg","Lebanon, RETAIL, Beirut, Potatoes, LBP/Kg","Lebanon, RETAIL, Beirut, Lentils, LBP/Kg","Lebanon, RETAIL, Beirut, Cabbage, LBP/Kg","Lebanon, RETAIL, Beirut, Bulgur (Brown), LBP/Kg","Lebanon, RETAIL, Beirut, Bread (Pita), LBP/Kg","Lebanon, RETAIL, Akkar, Rice (Egyptian, imported), LBP/Kg","Lebanon, RETAIL, Akkar, Potatoes, LBP/Kg","Lebanon, RETAIL, Akkar, Lentils, LBP/Kg","Lebanon, RETAIL, Akkar, Cabbage, LBP/Kg","Lebanon, RETAIL, Akkar, Bulgur (Brown), LBP/Kg","Lebanon, RETAIL, Akkar, Bread (Pita), LBP/Kg","Lebanon, RETAIL, South, Rice (Egyptian, imported), LBP-real/Kg","Lebanon, RETAIL, South, Potatoes, LBP-real/Kg","Lebanon, RETAIL, South, Lentils, LBP-real/Kg","Lebanon, RETAIL, South, Cabbage, LBP-real/Kg","Lebanon, RETAIL, South, Bulgur (Brown), LBP-real/Kg","Lebanon, RETAIL, South, Bread (Pita), LBP-real/Kg","Lebanon, RETAIL, North, Rice (Egyptian, imported), LBP-real/Kg","Lebanon, RETAIL, North, Potatoes, LBP-real/Kg","Lebanon, RETAIL, North, Lentils, LBP-real/Kg","Lebanon, RETAIL, North, Cabbage, LBP-real/Kg","Lebanon, RETAIL, North, Bulgur (Brown), LBP-real/Kg","Lebanon, RETAIL, North, Bread (Pita), LBP-real/Kg","Lebanon, RETAIL, El Nabatieh, Rice (Egyptian, imported), LBP-real/Kg","Lebanon, RETAIL, El Nabatieh, Potatoes, LBP-real/Kg","Lebanon, RETAIL, El Nabatieh, Lentils, LBP-real/Kg","Lebanon, RETAIL, El Nabatieh, Cabbage, LBP-real/Kg","Lebanon, RETAIL, El Nabatieh, Bulgur (Brown), LBP-real/Kg","Lebanon, RETAIL, El Nabatieh, Bread (Pita), LBP-real/Kg","Lebanon, RETAIL, Beirut, Rice (Egyptian, imported), LBP-real/Kg","Lebanon, RETAIL, Beirut, Potatoes, LBP-real/Kg","Lebanon, RETAIL, Beirut, Lentils, LBP-real/Kg","Lebanon, RETAIL, Beirut, Cabbage, LBP-real/Kg","Lebanon, RETAIL, Beirut, Bulgur (Brown), LBP-real/Kg","Lebanon, RETAIL, Beirut, Bread (Pita), LBP-real/Kg","Lebanon, RETAIL, Akkar, Rice (Egyptian, imported), LBP-real/Kg","Lebanon, RETAIL, Akkar, Potatoes, LBP-real/Kg","Lebanon, RETAIL, Akkar, Lentils, LBP-real/Kg","Lebanon, RETAIL, Akkar, Cabbage, LBP-real/Kg","Lebanon, RETAIL, Akkar, Bulgur (Brown), LBP-real/Kg","Lebanon, RETAIL, Akkar, Bread (Pita), LBP-real/Kg","Lebanon, RETAIL, South, Rice (Egyptian, imported), USD/Kg","Lebanon, RETAIL, South, Potatoes, USD/Kg","Lebanon, RETAIL, South, Lentils, USD/Kg","Lebanon, RETAIL, South, Cabbage, USD/Kg","Lebanon, RETAIL, South, Bulgur (Brown), USD/Kg","Lebanon, RETAIL, South, Bread (Pita), USD/Kg","Lebanon, RETAIL, North, Rice (Egyptian, imported), USD/Kg","Lebanon, RETAIL, North, Potatoes, USD/Kg","Lebanon, RETAIL, North, Lentils, USD/Kg","Lebanon, RETAIL, North, Cabbage, USD/Kg","Lebanon, RETAIL, North, Bulgur (Brown), USD/Kg","Lebanon, RETAIL, North, Bread (Pita), USD/Kg","Lebanon, RETAIL, El Nabatieh, Rice (Egyptian, imported), USD/Kg","Lebanon, RETAIL, El Nabatieh, Potatoes, USD/Kg","Lebanon, RETAIL, El Nabatieh, Lentils, USD/Kg","Lebanon, RETAIL, El Nabatieh, Cabbage, USD/Kg","Lebanon, RETAIL, El Nabatieh, Bulgur (Brown), USD/Kg","Lebanon, RETAIL, El Nabatieh, Bread (Pita), USD/Kg","Lebanon, RETAIL, Beirut, Rice (Egyptian, imported), USD/Kg","Lebanon, RETAIL, Beirut, Potatoes, USD/Kg","Lebanon, RETAIL, Beirut, Lentils, USD/Kg","Lebanon, RETAIL, Beirut, Cabbage, USD/Kg","Lebanon, RETAIL, Beirut, Bulgur (Brown), USD/Kg","Lebanon, RETAIL, Beirut, Bread (Pita), USD/Kg","Lebanon, RETAIL, Akkar, Rice (Egyptian, imported), USD/Kg","Lebanon, RETAIL, Akkar, Potatoes, USD/Kg","Lebanon, RETAIL, Akkar, Lentils, USD/Kg","Lebanon, RETAIL, Akkar, Cabbage, USD/Kg","Lebanon, RETAIL, Akkar, Bulgur (Brown), USD/Kg","Lebanon, RETAIL, Akkar, Bread (Pita), USD/Kg"
"01/01/2025","96081.975","59400","172548.513","29250","90349.02","55824.024000000005","80565.426","63029.22","152986.617","29629.32","81124.2","50962.424","89145","58722.95","124392.861","44120.31","85320","59214.512","81749.763","64460.55","137072.646","49697.62","84088.44900000001","62254.864","77039.253","58058.57","134040.519","37526.04","78940.251","51546.16","564.831","349.19","1014.3539999999999","171.95","531.135","328.168","473.61600000000004","370.53","899.361","174.18","476.901","299.59200000000004","524.052","345.21","731.268","259.37","501.57","348.10400000000004","480.58200000000005","378.94","805.806","292.16","494.325","365.97600000000006","452.889","341.31","787.986","220.6","464.067","303.024","1.071","0.66","1.9260000000000002","0.33","1.0080000000000002","0.6240000000000001","0.9","0.7","1.71","0.33","0.909","0.568","0.9990000000000001","0.66","1.3860000000000001","0.49","0.9540000000000001","0.664","0.909","0.72","1.53","0.55","0.936","0.6960000000000001","0.864","0.65","1.494","0.42","0.882","0.576"
"12/01/2024","94238.94600000001","69600","172146.09600000002","31200","87079.96800000001","55126.152","80642.07","56520.9","150836.454","35299.67","81299.052","50010.952000000005","87976.845","57404.16","136520.361","46120.84","91260","59476.943999999996","81565.11","61724.17","134346.573","47916.43","83053.773","62061.912000000004","73142.037","53968.81","132984.03600000002","43553.96","75126.186","51633.4","592.623","437.68","1082.547","196.2","547.605","346.664","507.12300000000005","355.43","948.537","221.98","511.25399999999996","314.49600000000004","553.248","360.99","858.51","290.03","573.894","374.024","512.928","388.15","844.839","301.32","522.288","390.28000000000003","459.954","339.38","836.2710000000001","273.89","472.43699999999995","324.696","1.053","0.78","1.9260000000000002","0.35","0.9720000000000001","0.6160000000000001","0.9","0.63","1.683","0.39","0.909","0.5599999999999999","0.9810000000000001","0.64","1.521","0.51","1.017","0.664","0.909","0.69","1.503","0.53","0.927","0.6960000000000001","0.8190000000000001","0.6","1.4849999999999999","0.49","0.8370000000000001","0.576"
"11/01/2024","92849.247","65500","156508.866","32287.5","83687.778","54239.61600000001","79794.558","59588.12","152577.54","40262.96","83066.64300000001","51758.312000000005","98427.933","55854.94","139035.942","46309.76","92036.997","60435.10400000001","81465.561","63118.6","136073.034","62750.93","83392.34400000001","62198.736000000004","75657.978","52628.55","136943.95500000002","35869.06","77515.443","55776.96","621.369","438.34","1047.402","216.08","560.061","362.98400000000004","534.0060000000001","398.78","1021.086","269.45","555.903","346.384","658.71","373.8","930.4649999999999","309.92","615.933","404.44800000000004","545.193","422.41","910.638","419.95","558.081","416.248","506.32200000000006","352.2","916.47","240.05","518.751","373.272","1.035","0.73","1.746","0.36","0.936","0.6080000000000001","0.891","0.67","1.7009999999999998","0.45","0.927","0.576","1.098","0.62","1.557","0.52","1.026","0.672","0.909","0.71","1.521","0.7","0.936","0.6960000000000001","0.846","0.59","1.53","0.4","0.864","0.6240000000000001"
"10/01/2024","82572.246","70920.59","166097.916","34340","84114.999","54873.576","79234.632","65985.9","159015.681","42768.47","81142.614","52385.696","101705.625","58713.6","134228.574","45409","94921.875","58474.288","79692.561","62048.6","134408.28600000002","56300.75","83584.656","59057.432","74933.028","56946.96","135254.916","32426.67","77175.63","55018.8","586.404","503.66","1179.585","243.87","597.366","389.696","562.707","468.62","1129.2930000000001","303.73","576.252","372.03200000000004","722.286","416.97","953.253","322.48","674.109","415.27200000000005","565.956","440.65","954.531","399.83","593.595","419.408","532.152","404.42","960.543","230.29","548.082","390.72800000000007","0.918","0.79","1.854","0.38","0.936","0.6160000000000001","0.882","0.74","1.773","0.48","0.909","0.584","1.1340000000000001","0.66","1.494","0.51","1.062","0.656","0.891","0.69","1.503","0.63","0.936","0.656","0.8370000000000001","0.64","1.512","0.36","0.864","0.6160000000000001"
"09/01/2024","74589.20999999999","61200","142699.77","34971.43","79082.289","48654.432","79859.02500000001","62441.94","150703.74000000002","44020.06","81519.498","45342.824","72927.648","57153.57","139142.52","40996.43","76185.135","50398.632000000005","80113.194","62809.25","136970.37","52815","84637.35","47956.488000000005","69411.31199999999","57370.6","129756.42","35453.44","73915.587","49988.336","566.442","464.76","1083.69","265.58","600.561","369.48800000000006","606.465","474.2","1144.476","334.3","619.0740000000001","344.34400000000005","553.8240000000001","434.03","1056.672","311.33","578.565","382.73600000000005","608.3910000000001","476.98","1040.175","401.09","642.7529999999999","364.192","527.1210000000001","435.68","985.3920000000002","269.24","561.33","379.624","0.8370000000000001","0.68","1.593","0.39","0.882","0.544","0.891","0.7","1.683","0.49","0.909","0.504","0.81","0.64","1.557","0.46","0.846","0.5599999999999999","0.891","0.7","1.53","0.59","0.9450000000000001","0.536","0.774","0.64","1.449","0.4","0.8280000000000001","0.5599999999999999"
"08/01/2024","74815.749","56430","156636.639","35910","87741.58499999999","48611.04000000001","76239.441","56750.75","148272.345","44077.72","84152.799","43333.56","74746.755","49489.64","128887.69499999999","44068.57","79483.869","51064.968","78432.228","58552.22","133817.83200000002","56497.81","83422.395","47820.656","70211.781","50365.76","130472.739","40016.05","72942.04800000001","48485.168000000005","605.0699999999999","456.38","1266.804","290.42","709.614","393.144","616.59","458.97","1199.16","356.48","680.589","350.464","604.512","400.25","1042.38","356.41","642.825","412.992","634.3199999999999","473.54","1082.259","456.93","674.685","386.752","567.837","407.33","1055.2050000000002","323.63","589.923","392.12800000000004","0.8370000000000001","0.63","1.746","0.4","0.9810000000000001","0.544","0.855","0.63","1.6560000000000001","0.49","0.936","0.488","0.8370000000000001","0.55","1.4400000000000002","0.49","0.891","0.568","0.873","0.65","1.494","0.63","0.936","0.536","0.783","0.56","1.4580000000000002","0.45","0.8190000000000001","0.544"
"07/01/2024","74505.87000000001","52281.82","147370.02300000002","41236.36","84634.119","45533.568","76265.118","57993.22","150408.666","41423.25","85839.849","42612.832","74955.15000000001","51848.12","125923.87800000001","36801.43","76918.743","51510.544","76296.39300000001","59001.85","134714.709","52632.25","84250.78199999999","45276.696","68968.971","48537.06","128792.25","32158.73","74370.726","47269.872","639.0630000000001","448.44","1264.041","353.7","725.94","390.56","654.1560000000001","497.43","1290.105","355.3","736.2810000000001","365.504","642.9150000000001","444.72","1080.09","315.66","659.754","441.824","654.417","506.08","1155.4920000000002","451.44","722.6460000000001","388.35200000000003","591.5699999999999","416.32","1104.6960000000001","275.84","637.902","405.44800000000004","0.8370000000000001","0.58","1.647","0.46","0.9450000000000001","0.512","0.855","0.65","1.683","0.46","0.9630000000000001","0.48","0.8370000000000001","0.58","1.4040000000000001","0.41","0.864","0.576","0.855","0.66","1.503","0.59","0.9450000000000001","0.504","0.774","0.54","1.4400000000000002","0.36","0.8280000000000001","0.528"
"06/01/2024","74271.79800000001","65948","141516.96300000002","41052.73","83106.243","43840.056000000004","74447.757","67393.6","141169.671","38833.75","82995.84000000001","38999.384000000005","73286.856","64495.64","126315.43200000002","36278.57","77648.49","47210.216","77953.365","62148.95","135384.633","56870.56","83623.158","43083.504","66706.911","64461.79","127436.58000000002","28508.89","74278.14300000001","43224.384000000005","675.999","600.24","1288.053","373.65","756.4140000000001","399.024","677.601","613.4","1284.894","353.45","755.4060000000001","354.96000000000004","667.035","587.02","1149.6870000000001","330.2","706.734","429.696","709.515","565.66","1232.2350000000001","517.62","761.1210000000001","392.136","607.149","586.71","1159.893","259.48","676.062","393.416","0.8280000000000001","0.74","1.584","0.46","0.927","0.488","0.8280000000000001","0.75","1.575","0.43","0.927","0.43200000000000005","0.8190000000000001","0.72","1.413","0.41","0.864","0.528","0.873","0.69","1.512","0.63","0.936","0.48","0.747","0.72","1.4220000000000002","0.32","0.8280000000000001","0.48"
"05/01/2024","72604.8","58613","144385.2","39587","86191.2","43216","75502.8","50458","145451.7","37779","81397.8","38500","73468.8","49423","118656","45200","75802.5","44667.200000000004","79537.5","58818","136551.6","52147","83988.90000000001","42060.8","67816.8","47440","125294.40000000001","34531","74476.8","43982.4","701.784","566.55","1395.612","382.64","833.112","417.72","729.801","487.72","1405.9170000000001","365.17","786.7800000000001","372.136","710.136","477.72","1146.915","436.9","732.6990000000001","431.74399999999997","768.798","568.53","1319.886","504.05","811.827","406.552","655.5060000000001","458.55","1211.076","333.77","719.883","425.128","0.81","0.65","1.611","0.44","0.9630000000000001","0.48","0.846","0.56","1.62","0.42","0.909","0.43200000000000005","0.8190000000000001","0.55","1.323","0.5","0.846","0.496","0.891","0.66","1.521","0.58","0.936","0.472","0.756","0.53","1.395","0.39","0.8280000000000001","0.488"
"04/01/2024","75319.2","53600","143372.7","36700","84440.7","42607.200000000004","74858.40000000001","49753","140329.80000000002","36436","81360","37868.8","70259.40000000001","46542","115351.2","40645","78724.8","44544.8","75705.3","53498","137135.7","52591","83841.3","41831.200000000004","67303.8","42332","126243.90000000001","33108","75223.8","41741.600000000006","772.668","549.86","1470.807","376.49","866.25","437.088","767.943","510.4","1439.595","373.78","834.642","388.48","720.765","477.46","1183.347","416.96","807.606","456.9680000000001","776.6279999999999","548.82","1406.826","539.51","860.0939999999999","429.128","690.444","434.27","1295.0910000000001","339.64","771.696","428.208","0.8370000000000001","0.6","1.602","0.41","0.9450000000000001","0.472","0.8370000000000001","0.56","1.566","0.41","0.909","0.42400000000000004","0.783","0.52","1.287","0.45","0.882","0.496","0.846","0.6","1.53","0.59","0.936","0.46399999999999997","0.747","0.47","1.413","0.37","0.8370000000000001","0.46399999999999997"
