"Date","Lebanon, RETAIL, South, Sunflower oil, LBP/5 Liter","Lebanon, RETAIL, North, Sunflower oil, LBP/5 Liter","Lebanon, RETAIL, El Nabatieh, Sunflower oil, LBP/5 Liter","Lebanon, RETAIL, Beirut, Sunflower oil, LBP/5 Liter","Lebanon, RETAIL, Akkar, Sunflower oil, LBP/5 Liter","Lebanon, RETAIL, South, Sunflower oil, USD/5 Liter","Lebanon, RETAIL, North, Sunflower oil, USD/5 Liter","Lebanon, RETAIL, El Nabatieh, Sunflower oil, USD/5 Liter","Lebanon, RETAIL, Beirut, Sunflower oil, USD/5 Liter","Lebanon, RETAIL, Akkar, Sunflower oil, USD/5 Liter","Lebanon, RETAIL, South, Sunflower oil, LBP-real/5 Liter","Lebanon, RETAIL, North, Sunflower oil, LBP-real/5 Liter","Lebanon, RETAIL, El Nabatieh, Sunflower oil, LBP-real/5 Liter","Lebanon, RETAIL, Beirut, Sunflower oil, LBP-real/5 Liter","Lebanon, RETAIL, Akkar, Sunflower oil, LBP-real/5 Liter"
"01/01/2025","870437.59","829000.82","735803.57","857458.28","785278.98","9.71","9.25","8.21","9.57","8.76","5117.03","4873.43","4325.56","5040.72","4616.41"
"12/01/2024","795419.36","778438.04","722791.67","779159.47","719356.51","8.88","8.69","8.07","8.7","8.03","5002.01","4895.23","4545.29","4899.76","4523.69"
"11/01/2024","749345.76","765884.44","727083.33","811586.58","725710.56","8.37","8.56","8.12","9.07","8.11","5014.82","5125.5","4865.84","5431.36","4856.65"
"10/01/2024","696915.43","688260.5","778125","695949.04","634006.78","7.78","7.68","8.68","7.77","7.08","4949.32","4887.85","5526.05","4942.45","4502.56"
"09/01/2024","663763.6","677109.4","650650.3","694409.1","597139.8","7.41","7.56","7.26","7.75","6.67","5040.74","5142.09","4941.16","5273.47","4534.79"
"08/01/2024","665388.11","691171.72","623285.76","703313.69","583209.59","7.43","7.72","6.96","7.86","6.52","5381.34","5589.87","5040.84","5688.07","4716.72"
"07/01/2024","657053.4","678912.12","673743.17","696313.49","582900.5","7.34","7.59","7.53","7.78","6.51","5635.77","5823.26","5778.93","5972.52","4999.74"
"06/01/2024","655412.48","670525.84","648592.93","701026.59","597554.35","7.32","7.49","7.24","7.83","6.67","5965.4","6102.95","5903.33","6380.56","5438.79"
"05/01/2024","635775","672198","608746","712479","586572","7.1","7.51","6.8","7.96","6.55","6145.32","6497.38","5884.06","6886.73","5669.73"
"04/01/2024","680704","670441","611325","707135","588558","7.6","7.48","6.82","7.89","6.57","6983.09","6877.8","6271.35","7254.23","6037.8"
"03/01/2024","663592","677171","679723","720912","591201","7.41","7.56","7.59","8.05","6.6","7237.55","7385.65","7413.48","7862.72","6448.01"
"02/01/2024","646367","675317","619422","747145","591915","62.35","65.14","59.75","72.07","57.09","7626.41","7967.99","7308.49","8815.48","6983.94"
"01/01/2024","644684","705893","662923","765852","583017","42.98","47.06","44.19","51.06","38.87","8323.51","9113.77","8558.99","9887.9","7527.32"
"12/01/2023","686944.83","690177.34","674339.64","762091.48","601004.1","45.8","46.01","44.96","50.81","40.07","9698.3","9743.94","9520.34","10759.23","8484.99"
"11/01/2023","681874.42","713796.29","673576.5","761344.46","623264.96","45.46","47.59","44.91","50.76","41.55","9628.81","10079.58","9511.64","10751.02","8801.18"
"10/01/2023","678015.27","714534.71","746499.6","752265.5","604214.09","45.2","47.64","49.77","50.15","40.28","9819.91","10348.84","10811.79","10895.3","8751.03"
"09/01/2023","814985.7","848220.01","815452","859957.88","739662.08","54.33","56.55","54.36","57.33","49.31","13836.33","14400.57","13844.25","14599.84","12557.53"
"08/01/2023","806543.03","781869.64","813746.62","783820.66","738680.72","53.77","52.12","54.25","52.25","49.25","13882.25","13457.57","14006.23","13491.15","12714.2"
"07/01/2023","840528.15","801857.6","837135.14","866030.88","754405.84","56.04","53.46","55.81","57.74","50.29","14599.87","13928.17","14540.94","15042.85","13103.94"
"06/01/2023","863408.04","859551.1","879800.55","1013742.81","758637.43","57.56","57.3","58.65","67.58","50.58","16017.81","15946.26","16321.92","18806.8","14074.12"
"05/01/2023","753417","663318","880950","867213","701407","50.23","44.22","58.73","57.81","46.76","14985.49","13193.42","17522.13","17248.9","13951.01"
"04/01/2023","950246","886663","926200","1070308","883987","63.35","59.11","61.75","71.35","58.93","19911.56","18579.23","19407.7","22427.35","18523.16"
"03/01/2023","989135","891047","949094","1072553","872533","65.94","59.4","63.27","71.5","58.17","22498.78","20267.67","21588.01","24396.19","19846.56"
"02/01/2023","725885","669076","702380","833575","577453","48.39","44.61","46.83","55.57","38.5","22004.81","20282.67","21292.27","25269.37","17505.17"
"01/01/2023","506074","479167","496396","539937","411576","335.7","317.86","329.28","358.17","273.02","19257.22","18233.35","18888.96","20545.79","15661.37"
"12/01/2022","464375","441478","433282","490564","384127","308.04","292.85","287.42","325.42","254.81","18995.56","18058.94","17723.68","20066.84","15712.96"
"11/01/2022","440298","430226","415006","472929","368300","292.07","285.39","275.29","313.72","244.31","19389.67","18946.12","18275.87","20826.66","16219.05"
"10/01/2022","447625","437440","421889","476406","364638","296.93","290.18","279.86","316.02","241.88","20449.43","19984.13","19273.69","21764.26","16658.22"
"09/01/2022","433205","397833","464391","523212","362835","287.37","263.9","308.05","347.07","240.69","22689.28","20836.65","24322.65","27403.43","19003.62"
"08/01/2022","411650","398751","431496","474611","345107","273.07","264.51","286.23","314.83","228.93","23370.9","22638.57","24497.63","26945.43","19593.01"
"07/01/2022","412609","410115","402955","439236","364867","273.7","272.05","267.3","291.37","242.03","25194.21","25041.93","24604.73","26820.08","22279.05"
"06/01/2022","398263","407135","401921","429417","388113","264.19","270.07","266.61","284.85","257.45","26122.32","26704.24","26362.25","28165.73","25456.57"
