"Date","Tunisia, RETAIL, Tunis, Milk, TND/Liter","Tunisia, RETAIL, Tunis, Milk, USD/Liter","Tunisia, RETAIL, Tunis, Milk, TND-real/Liter"
"11/01/2024","1350","429.7","595.65"
"10/01/2024","1350","437.5","599.03"
"09/01/2024","","",""
"08/01/2024","1.35","0.44","0.61"
"07/01/2024","1.35","0.43","0.61"
"06/01/2024","1.35","0.43","0.61"
"05/01/2024","1.35","0.43","0.62"
"04/01/2024","1.35","0.43","0.62"
"03/01/2024","1.35","0.43","0.62"
"02/01/2024","1.35","0.43","0.63"
"01/01/2024","1.35","0.44","0.63"
"12/01/2023","1.35","0.44","0.64"
"11/01/2023","1.35","0.43","0.64"
"10/01/2023","1.35","0.42","0.64"
"09/01/2023","1.35","0.43","0.65"
"08/01/2023","1.35","0.44","0.65"
"07/01/2023","1.35","0.44","0.66"
"06/01/2023","1.35","0.44","0.66"
"05/01/2023","1.35","0.44","0.66"
"04/01/2023","1.35","0.44","0.67"
"03/01/2023","1.35","0.43","0.67"
"02/01/2023","1.35","0.43","0.68"
"01/01/2023","1.35","0.44","0.68"
"12/01/2022","1.35","0.43","0.69"
"11/01/2022","1.35","0.42","0.69"
"10/01/2022","1.35","0.41","0.7"
"09/01/2022","1.35","0.42","0.7"
"08/01/2022","1.35","0.43","0.71"
"07/01/2022","1.35","0.43","0.71"
"06/01/2022","1.35","0.44","0.72"
"05/01/2022","1.35","0.43","0.73"
"04/01/2022","1.35","0.45","0.73"
"03/01/2022","1.35","0.47","0.74"
"02/01/2022","1.35","0.47","0.75"
"01/01/2022","1.35","0.47","0.75"
"12/01/2021","1.35","0.46","0.76"
"11/01/2021","1.35","0.47","0.76"
"10/01/2021","1.35","0.48","0.76"
"09/01/2021","1.35","0.48","0.77"
"08/01/2021","1.35","0.48","0.77"
"07/01/2021","1.35","0.48","0.77"
"06/01/2021","1.35","0.48","0.78"
"05/01/2021","1.35","0.49","0.78"
"04/01/2021","1.35","0.49","0.79"
"03/01/2021","1.25","0.45","0.74"
"02/01/2021","1.25","0.46","0.74"
"01/01/2021","1.25","0.46","0.74"
"12/01/2020","1.25","0.46","0.75"
"11/01/2020","1.25","0.45","0.75"
"10/01/2020","1.25","0.45","0.75"
"09/01/2020","1.25","0.45","0.76"
"08/01/2020","1.25","0.46","0.76"
"07/01/2020","1.12","0.4","0.68"
"06/01/2020","1.12","0.39","0.68"
"05/01/2020","1.12","0.39","0.68"
"04/01/2020","1.12","0.39","0.69"
"03/01/2020","1.12","0.39","0.69"
"02/01/2020","1.12","0.39","0.7"
"01/01/2020","1.12","0.4","0.7"
"12/01/2019","1.12","0.39","0.7"
"11/01/2019","1.12","0.39","0.7"
"10/01/2019","1.12","0.39","0.71"
"09/01/2019","1.12","0.39","0.71"
"08/01/2019","1.12","0.39","0.72"
"07/01/2019","1.12","0.39","0.72"
"06/01/2019","1.12","0.38","0.72"
"05/01/2019","1.12","0.37","0.73"
"04/01/2019","1.12","0.37","0.73"
"03/01/2019","1.12","0.37","0.73"
"02/01/2019","1.12","0.37","0.74"
"01/01/2019","1.12","0.37","0.74"
"12/01/2018","1.12","0.38","0.74"
"11/01/2018","1.12","0.38","0.75"
"10/01/2018","1.12","0.39","0.75"
"09/01/2018","1.12","0.4","0.76"
"08/01/2018","1.12","0.41","0.77"
"07/01/2018","1.12","0.42","0.77"
"06/01/2018","1.12","0.43","0.77"
"05/01/2018","1.12","0.44","0.78"
"04/01/2018","1.12","0.46","0.78"
"03/01/2018","1.12","0.46","0.79"
"02/01/2018","1.12","0.46","0.79"
"01/01/2018","1.12","0.45","0.79"
"12/01/2017","1.12","0.45","0.8"
"11/01/2017","1.12","0.45","0.8"
"10/01/2017","1.12","0.45","0.81"
"09/01/2017","1.12","0.46","0.82"
"08/01/2017","1.12","0.46","0.82"
"07/01/2017","1.12","0.45","0.82"
"06/01/2017","1.12","0.46","0.83"
"05/01/2017","1.12","0.46","0.83"
"04/01/2017","1.12","0.47","0.84"
"03/01/2017","1.12","0.49","0.84"
"02/01/2017","1.12","0.49","0.85"
"01/01/2017","1.12","0.48","0.84"
"12/01/2016","1.12","0.48","0.85"
"11/01/2016","1.12","0.49","0.85"
"10/01/2016","1.12","0.5","0.85"
"09/01/2016","1.12","0.51","0.86"
"08/01/2016","1.12","0.51","0.87"
"07/01/2016","1.12","0.5","0.87"
"06/01/2016","1.12","0.52","0.87"
"05/01/2016","1.12","0.55","0.87"
"04/01/2016","1.12","0.56","0.88"
"03/01/2016","1.12","0.55","0.88"
"02/01/2016","1.12","0.55","0.88"
"01/01/2016","1.12","0.55","0.88"
"12/01/2015","1.12","0.55","0.89"
"11/01/2015","1.12","0.55","0.89"
"10/01/2015","1.12","0.57","0.89"
"09/01/2015","1.12","0.57","0.9"
"08/01/2015","1.12","0.57","0.9"
"07/01/2015","1.12","0.57","0.9"
"06/01/2015","1.12","0.58","0.9"
"05/01/2015","1.12","0.58","0.91"
"04/01/2015","1.12","0.57","0.91"
"03/01/2015","1.12","0.57","0.91"
"02/01/2015","1.12","0.58","0.91"
"01/01/2015","1.12","0.59","0.91"
"12/01/2014","1.06","0.57","0.87"
"11/01/2014","1.06","0.58","0.87"
"10/01/2014","1.06","0.59","0.88"
"09/01/2014","1.06","0.6","0.88"
"08/01/2014","1.06","0.61","0.88"
"07/01/2014","1.06","0.62","0.89"
"06/01/2014","1.06","0.64","0.89"
"05/01/2014","1.06","0.65","0.9"
"04/01/2014","1.06","0.67","0.9"
"03/01/2014","1.06","0.67","0.91"
"02/01/2014","1.06","0.67","0.91"
"01/01/2014","1.06","0.65","0.91"
"12/01/2013","1.06","0.64","0.91"
"11/01/2013","1.06","0.64","0.92"
"10/01/2013","1.06","0.65","0.92"
"09/01/2013","1.06","0.64","0.93"
"08/01/2013","1.06","0.64","0.93"
"07/01/2013","1.06","0.64","0.93"
"06/01/2013","1.06","0.65","0.93"
"05/01/2013","1.06","0.65","0.94"
"04/01/2013","1.06","0.66","0.94"
"03/01/2013","1.06","0.67","0.94"
"02/01/2013","1.06","0.68","0.95"
"01/01/2013","1.06","0.68","0.95"
"12/01/2012","1.06","0.68","0.96"
"11/01/2012","1.06","0.67","0.96"
"10/01/2012","1.06","0.68","0.97"
"09/01/2012","0.97","0.62","0.89"
"08/01/2012","0.97","0.6","0.89"
"07/01/2012","0.97","0.6","0.9"
"06/01/2012","0.97","0.61","0.9"
"05/01/2012","0.97","0.62","0.91"
"04/01/2012","0.97","0.64","0.91"
"03/01/2012","0.97","0.64","0.91"
"02/01/2012","0.97","0.65","0.91"
"01/01/2012","0.97","0.64","0.92"
"12/01/2011","0.97","0.65","0.92"
"11/01/2011","0.97","0.67","0.92"
"10/01/2011","0.97","0.68","0.92"
"09/01/2011","0.97","0.69","0.93"
"08/01/2011","0.97","0.71","0.94"
"07/01/2011","0.97","0.7","0.94"
"06/01/2011","0.97","0.71","0.94"
"05/01/2011","0.97","0.7","0.95"
"04/01/2011","0.97","0.71","0.95"
"03/01/2011","0.97","0.7","0.95"
"02/01/2011","0.97","0.68","0.96"
"01/01/2011","0.97","0.67","0.95"
"12/01/2010","1.03","0.71","1.01"
"11/01/2010","1.03","0.73","1.02"
"10/01/2010","1.03","0.74","1.02"
"09/01/2010","1.03","0.71","1.02"
"08/01/2010","1.03","0.7","1.03"
"07/01/2010","1.03","0.7","1.03"
"06/01/2010","1.03","0.68","1.03"
"05/01/2010","1.03","0.69","1.04"
"04/01/2010","1.03","0.73","1.04"
"03/01/2010","1.03","0.74","1.04"
"02/01/2010","1.03","0.75","1.04"
"01/01/2010","1.03","0.78","1.04"
"12/01/2009","0.97","0.74","0.99"
"11/01/2009","0.97","0.75","0.99"
"10/01/2009","0.97","0.75","1"
"09/01/2009","0.97","0.74","1"
"08/01/2009","0.97","0.73","1.01"
"07/01/2009","0.97","0.73","1.01"
"06/01/2009","0.97","0.72","1.02"
"05/01/2009","0.97","0.71","1.02"
"04/01/2009","0.97","0.69","1.03"
"03/01/2009","0.97","0.68","1.03"
"02/01/2009","0.97","0.68","1.03"
"01/01/2009","0.97","0.71","1.03"
"12/01/2008","0.97","0.72","1.03"
"11/01/2008","0.9","0.65","0.96"
"10/01/2008","0.9","0.68","0.96"
"09/01/2008","0.9","0.72","0.97"
"08/01/2008","0.9","0.74","0.97"
"07/01/2008","0.9","0.77","0.97"
"06/01/2008","0.9","0.76","0.98"
"05/01/2008","0.9","0.77","0.98"
"04/01/2008","0.9","0.78","0.98"
"03/01/2008","0.9","0.77","0.99"
"02/01/2008","0.9","0.74","0.99"
"01/01/2008","0.9","0.74","0.99"
"12/01/2007","0.83","0.68","0.92"
"11/01/2007","0.83","0.68","0.92"
"10/01/2007","0.78","0.62","0.87"
"09/01/2007","0.78","0.62","0.87"
"08/01/2007","0.78","0.61","0.88"
"07/01/2007","0.75","0.58","0.85"
"06/01/2007","0.75","0.58","0.85"
"05/01/2007","0.75","0.58","0.86"
"04/01/2007","0.75","0.58","0.86"
"03/01/2007","0.75","0.57","0.87"
"02/01/2007","0.75","0.57","0.87"
"01/01/2007","0.75","0.57","0.87"
"12/01/2006","0.7","0.54","0.81"
"11/01/2006","0.7","0.53","0.81"
"10/01/2006","0.7","0.52","0.81"
"09/01/2006","0.7","0.53","0.81"
"08/01/2006","0.7","0.53","0.82"
"07/01/2006","0.7","0.53","0.82"
"06/01/2006","0.7","0.53","0.82"
"05/01/2006","0.7","0.53","0.82"
"04/01/2006","0.7","0.52","0.82"
"03/01/2006","0.7","0.52","0.83"
"02/01/2006","0.7","0.51","0.83"
"01/01/2006","0.7","0.52","0.83"
"12/01/2005","0.68","0.5","0.82"
"11/01/2005","0.68","0.5","0.82"
"10/01/2005","0.68","0.51","0.82"
"09/01/2005","0.68","0.52","0.83"
"08/01/2005","0.68","0.52","0.83"
"07/01/2005","0.68","0.51","0.83"
"06/01/2005","0.68","0.52","0.84"
"05/01/2005","0.68","0.54","0.84"
"04/01/2005","0.68","0.54","0.84"
"03/01/2005","0.68","0.55","0.84"
"02/01/2005","0.68","0.55","0.84"
"01/01/2005","0.68","0.55","0.85"
"12/01/2004","0.67","0.55","0.83"
"11/01/2004","0.67","0.55","0.83"
"10/01/2004","0.67","0.53","0.83"
"09/01/2004","0.67","0.53","0.83"
"08/01/2004","0.67","0.53","0.83"
"07/01/2004","0.67","0.53","0.83"
"06/01/2004","0.67","0.53","0.83"
"05/01/2004","0.67","0.53","0.84"
"04/01/2004","0.66","0.52","0.83"
"03/01/2004","0.66","0.53","0.83"
"02/01/2004","0.66","0.54","0.83"
"01/01/2004","0.66","0.55","0.83"
"12/01/2003","0.66","0.54","0.83"
"11/01/2003","0.66","0.52","0.83"
"10/01/2003","0.66","0.52","0.84"
"09/01/2003","0.66","0.51","0.84"
"08/01/2003","0.66","0.51","0.85"
"07/01/2003","0.66","0.51","0.86"
"06/01/2003","0.66","0.52","0.86"
"05/01/2003","0.66","0.52","0.86"
"04/01/2003","0.66","0.5","0.87"
"03/01/2003","0.66","0.5","0.87"
"02/01/2003","0.66","0.5","0.87"
"01/01/2003","0.66","0.5","0.87"
"12/01/2002","0.66","0.49","0.87"
"11/01/2002","0.66","0.48","0.87"
"10/01/2002","0.66","0.48","0.87"
