"Date","INTERNATIONAL PRICES, EXPORT, Ukraine, Wheat (feed, <11%), USD/Kg","INTERNATIONAL PRICES, EXPORT, Ukraine, Wheat (milling, offer, f.o.b.), USD/Kg"
"02/01/2025","0.23215","0.24875"
"01/01/2025","0.22313","0.244"
"12/01/2024","0.21922999999999998","0.239"
"11/01/2024","0.21824000000000002","0.24"
"10/01/2024","0.21852000000000002","0.241"
"09/01/2024","0.20381","0.2285"
"08/01/2024","0.20091","0.225"
"07/01/2024","0.19987","0.22"
"06/01/2024","0.21309999999999998","0.2275"
"05/01/2024","0.20912999999999998","0.21725"
"04/01/2024","0.18186000000000002","0.2012"
"03/01/2024","0.174","0.19625"
"02/01/2024","0.17886000000000002","0.20225"
"01/01/2024","0.19147","0.2064"
"12/01/2023","","0.20375"
"11/01/2023","","0.1955"
"10/01/2023","","0.1938"
"09/01/2023","","0.201"
"08/01/2023","","0.2056"
"07/01/2023","0.21206999999999998","0.201"
"06/01/2023","0.21191","0.20267"
"05/01/2023","0.2297",""
"04/01/2023","0.24921000000000001",""
"03/01/2023","0.26126",""
"02/01/2023","0.27",""
"01/01/2023","0.26805",""
"12/01/2022","0.26782",""
"11/01/2022","0.27132",""
"10/01/2022","0.27905",""
"09/01/2022","0.27105",""
"08/01/2022","",""
"07/01/2022","",""
"06/01/2022","",""
"05/01/2022","",""
"04/01/2022","","0.37667"
"03/01/2022","0.375","0.425"
"02/01/2022","0.30410000000000004","0.314"
"01/01/2022","0.31433","0.3315"
"12/01/2021","0.319","0.33125"
"11/01/2021","0.322","0.3378"
"10/01/2021","0.30225","0.316"
"09/01/2021","0.286","0.30325"
"08/01/2021","0.2666","0.2868"
"07/01/2021","0.225","0.2415"
"06/01/2021","0.24880000000000002","0.25660000000000005"
"05/01/2021","0.26625","0.2735"
"04/01/2021","0.248","0.255"
"03/01/2021","0.2698","0.26880000000000004"
"02/01/2021","0.28025","0.28275"
"01/01/2021","0.27825","0.28775"
"12/01/2020","0.2508","0.25939999999999996"
"11/01/2020","0.24875","0.25525"
"10/01/2020","0.242","0.2525"
"09/01/2020","0.21980000000000002","0.2294"
"08/01/2020","0.199","0.20375"
"07/01/2020","0.1955","0.208"
"06/01/2020","0.19340000000000002","0.2052"
"05/01/2020","0.215","0.224"
"04/01/2020","0.21775","0.2265"
"03/01/2020","0.206","0.2122"
"02/01/2020","0.2165","0.21975"
"01/01/2020","0.2175","0.22375"
"12/01/2019","0.2046","0.21259999999999998"
"11/01/2019","0.19775","0.2075"
"10/01/2019","0.19419999999999998","0.2012"
"09/01/2019","0.1795","0.1855"
"08/01/2019","0.183","0.1935"
"07/01/2019","0.1832","0.1972"
"06/01/2019","0.182","0.20175"
"05/01/2019","0.18825","0.2075"
"04/01/2019","0.21","0.222"
"03/01/2019","0.2145","0.2265"
"02/01/2019","0.22675","0.23825"
"01/01/2019","0.2248","0.2384"
"12/01/2018","0.21875","0.23275"
"11/01/2018","0.2145","0.226"
"10/01/2018","0.21159999999999998","0.2294"
"09/01/2018","0.2","0.2195"
"08/01/2018","0.20425","0.2265"
"07/01/2018","0.19019999999999998","0.2072"
"06/01/2018","0.19275","0.2015"
"05/01/2018","0.2002","0.2092"
"04/01/2018","0.20175","0.2105"
"03/01/2018","0.19825","0.20625"
"02/01/2018","0.18975","0.19925"
"01/01/2018","0.182","0.19219999999999998"
"12/01/2017","0.18","0.18975"
"11/01/2017","0.1795","0.19175"
"10/01/2017","0.177","0.193"
"09/01/2017","0.169","0.1875"
"08/01/2017","0.1658","0.18880000000000002"
"07/01/2017","0.173","0.18925"
"06/01/2017","0.17225","0.18475"
"05/01/2017","0.1744","0.1854"
"04/01/2017","0.1745","0.18825"
"03/01/2017","0.1785","0.18875"
"02/01/2017","0.177","0.1875"
"01/01/2017","0.1696","0.18359999999999999"
"12/01/2016","0.16875","0.184"
"11/01/2016","0.1672","0.18225"
"10/01/2016","0.162","0.1745"
"09/01/2016","0.1545","0.17"
"08/01/2016","0.162","0.1714"
"07/01/2016","0.15675","0.1655"
"06/01/2016","0.17625","0.181"
"05/01/2016","0.1746","0.18619999999999998"
"04/01/2016","0.16875","0.18275"
"03/01/2016","0.16440000000000002","0.178"
"02/01/2016","0.17025","0.1815"
"01/01/2016","0.1725","0.18725"
"12/01/2015","0.18280000000000002","0.1948"
"11/01/2015","0.1855","0.19775"
"10/01/2015","0.181","0.19475"
"09/01/2015","0.1676","0.18380000000000002"
"08/01/2015","0.17375","0.1875"
"07/01/2015","0.186","0.19575"
"06/01/2015","0.18819999999999998","0.19119999999999998"
"05/01/2015","0.18475","0.19975"
"04/01/2015","0.19375","0.21"
