Date,"Bangladesh, RETAIL, Dhaka, Wheat (flour), BDT/Kg","Bangladesh, RETAIL, National Average, Wheat (flour), BDT/Kg","Bangladesh, WHOLESALE, Dhaka, Wheat (flour), BDT/Kg","Bangladesh, RETAIL, Dhaka, Wheat (flour), BDT-real/Kg","Bangladesh, RETAIL, National Average, Wheat (flour), BDT-real/Kg","Bangladesh, WHOLESALE, Dhaka, Wheat (flour), BDT-real/Kg","Bangladesh, RETAIL, Dhaka, Wheat (flour), USD/Kg","Bangladesh, RETAIL, National Average, Wheat (flour), USD/Kg","Bangladesh, WHOLESALE, Dhaka, Wheat (flour), USD/Kg","Egypt, RETAIL, National Average, Wheat (flour), EGP/Kg","Egypt, RETAIL, National Average, Wheat (flour), EGP-real/Kg","Egypt, RETAIL, National Average, Wheat (flour), USD/Kg","Indonesia, RETAIL, National Average, Wheat (flour), IDR/Kg","Indonesia, RETAIL, National Average, Wheat (flour), IDR-real/Kg","Indonesia, RETAIL, National Average, Wheat (flour), USD/Kg","Libyan Arab Jamahiriya, RETAIL, Tripoli center, Wheat (flour), LYD/Kg","Libyan Arab Jamahiriya, RETAIL, Sebha, Wheat (flour), LYD/Kg","Libyan Arab Jamahiriya, RETAIL, National Average, Wheat (flour), LYD/Kg","Libyan Arab Jamahiriya, RETAIL, Murzuq, Wheat (flour), LYD/Kg","Libyan Arab Jamahiriya, RETAIL, Misrata, Wheat (flour), LYD/Kg","Libyan Arab Jamahiriya, RETAIL, Benghazi, Wheat (flour), LYD/Kg","Libyan Arab Jamahiriya, RETAIL, Alkufra, Wheat (flour), LYD/Kg","Libyan Arab Jamahiriya, RETAIL, Algatroun, Wheat (flour), LYD/Kg","Libyan Arab Jamahiriya, RETAIL, Tripoli center, Wheat (flour), LYD-real/Kg","Libyan Arab Jamahiriya, RETAIL, Sebha, Wheat (flour), LYD-real/Kg","Libyan Arab Jamahiriya, RETAIL, National Average, Wheat (flour), LYD-real/Kg","Libyan Arab Jamahiriya, RETAIL, Murzuq, Wheat (flour), LYD-real/Kg","Libyan Arab Jamahiriya, RETAIL, Misrata, Wheat (flour), LYD-real/Kg","Libyan Arab Jamahiriya, RETAIL, Benghazi, Wheat (flour), LYD-real/Kg","Libyan Arab Jamahiriya, RETAIL, Alkufra, Wheat (flour), LYD-real/Kg","Libyan Arab Jamahiriya, RETAIL, Algatroun, Wheat (flour), LYD-real/Kg","Libyan Arab Jamahiriya, RETAIL, Tripoli center, Wheat (flour), USD/Kg","Libyan Arab Jamahiriya, RETAIL, Sebha, Wheat (flour), USD/Kg","Libyan Arab Jamahiriya, RETAIL, National Average, Wheat (flour), USD/Kg","Libyan Arab Jamahiriya, RETAIL, Murzuq, Wheat (flour), USD/Kg","Libyan Arab Jamahiriya, RETAIL, Misrata, Wheat (flour), USD/Kg","Libyan Arab Jamahiriya, RETAIL, Benghazi, Wheat (flour), USD/Kg","Libyan Arab Jamahiriya, RETAIL, Alkufra, Wheat (flour), USD/Kg","Libyan Arab Jamahiriya, RETAIL, Algatroun, Wheat (flour), USD/Kg","Pakistan, RETAIL, Quetta, Wheat (flour), PKR/Kg","Pakistan, RETAIL, Peshawar, Wheat (flour), PKR/Kg","Pakistan, RETAIL, Multan, Wheat (flour), PKR/Kg","Pakistan, RETAIL, Lahore, Wheat (flour), PKR/Kg","Pakistan, RETAIL, Karachi, Wheat (flour), PKR/Kg","Pakistan, RETAIL, Quetta, Wheat (flour), PKR-real/Kg","Pakistan, RETAIL, Peshawar, Wheat (flour), PKR-real/Kg","Pakistan, RETAIL, Multan, Wheat (flour), PKR-real/Kg","Pakistan, RETAIL, Lahore, Wheat (flour), PKR-real/Kg","Pakistan, RETAIL, Karachi, Wheat (flour), PKR-real/Kg","Pakistan, RETAIL, Quetta, Wheat (flour), USD/Kg","Pakistan, RETAIL, Peshawar, Wheat (flour), USD/Kg","Pakistan, RETAIL, Multan, Wheat (flour), USD/Kg","Pakistan, RETAIL, Lahore, Wheat (flour), USD/Kg","Pakistan, RETAIL, Karachi, Wheat (flour), USD/Kg"
1998-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
