year,exporter_code,importer_code,product_code,value_thousands_usd,quantity,exporter,importer,product,value_million_usd
1995,804,203,100510,46.744,112.96,Ukraine,Czechia,Maize,0.046744
1995,804,233,100110,104.427,736.5,Ukraine,Estonia,Wheat,0.104427
1995,804,233,100510,45.531,261.25,Ukraine,Estonia,Maize,0.045531
1995,804,233,110100,847.335,5436.675,Ukraine,Estonia,Wheat,0.8473350000000001
1995,804,233,110311,7.436,67.8,Ukraine,Estonia,Wheat,0.007436
1995,804,233,110811,9.405,20.0,Ukraine,Estonia,Wheat,0.009405
1995,804,300,100190,5.242,22.0,Ukraine,Greece,Wheat,0.005242
1995,804,300,110100,5.535,40.0,Ukraine,Greece,Wheat,0.005535
1995,804,348,100190,16.0,110.0,Ukraine,Hungary,Wheat,0.016
1995,804,428,100110,59.153,561.875,Ukraine,Latvia,Wheat,0.059153
1995,804,428,100190,216.667,1126.687,Ukraine,Latvia,Wheat,0.216667
1995,804,428,100510,23.234,30.0,Ukraine,Latvia,Maize,0.023234
1995,804,428,110311,5.334,41.0,Ukraine,Latvia,Wheat,0.005333999999999999
1995,804,428,110812,802.428,2389.75,Ukraine,Latvia,Maize,0.802428
1995,804,440,100110,616.5,5263.101,Ukraine,Lithuania,Wheat,0.6165
1995,804,440,100190,489.3,4559.015,Ukraine,Lithuania,Wheat,0.4893
1995,804,440,100510,111.1,180.0,Ukraine,Lithuania,Maize,0.11109999999999999
1995,804,440,100590,10.0,142.074,Ukraine,Lithuania,Maize,0.01
1995,804,440,110100,99.399,451.625,Ukraine,Lithuania,Wheat,0.099399
1995,804,440,110313,7.1,25.218,Ukraine,Lithuania,Maize,0.0070999999999999995
1995,804,440,110812,64.6,186.64,Ukraine,Lithuania,Maize,0.06459999999999999
1995,804,498,100110,775.762,10084.699,Ukraine,Rep. of Moldova,Wheat,0.775762
1995,804,498,100190,1.425,33.101,Ukraine,Rep. of Moldova,Wheat,0.001425
1995,804,498,100510,1107.139,909.625,Ukraine,Rep. of Moldova,Maize,1.1071389999999999
1995,804,498,110100,16.21,96.199,Ukraine,Rep. of Moldova,Wheat,0.016210000000000002
1995,804,498,110812,42.854,95.101,Ukraine,Rep. of Moldova,Maize,0.042853999999999996
1995,804,504,100190,670.45,3763.875,Ukraine,Morocco,Wheat,0.67045
1995,804,616,100190,52.0,334.375,Ukraine,Poland,Wheat,0.052
1995,804,616,110811,51.0,171.0,Ukraine,Poland,Wheat,0.051
1995,804,616,110812,65.0,210.0,Ukraine,Poland,Maize,0.065
1995,804,792,100190,2973.945,14621.628,Ukraine,TÃ¼rkiye,Wheat,2.973945
1996,804,8,100110,2054.402,2957.25,Ukraine,Albania,Wheat,2.054402
1996,804,31,100110,72.254,525.966,Ukraine,Azerbaijan,Wheat,0.072254
1996,804,31,100190,5012.045,28503.311,Ukraine,Azerbaijan,Wheat,5.012045
1996,804,31,110100,10019.855,40332.326,Ukraine,Azerbaijan,Wheat,10.019855
1996,804,31,110313,2.639,5.187,Ukraine,Azerbaijan,Maize,0.002639
1996,804,51,100190,2867.12,14399.785,Ukraine,Armenia,Wheat,2.86712
1996,804,51,110100,34.6,155.0,Ukraine,Armenia,Wheat,0.0346
1996,804,100,100110,14.441,606.26,Ukraine,Bulgaria,Wheat,0.014441
1996,804,100,100190,234.784,2483.854,Ukraine,Bulgaria,Wheat,0.234784
1996,804,100,100590,1.514,30.709,Ukraine,Bulgaria,Maize,0.001514
1996,804,100,110100,13.773,59.762,Ukraine,Bulgaria,Wheat,0.013773
1996,804,112,100110,9496.16,66858.812,Ukraine,Belarus,Wheat,9.49616
1996,804,112,100190,35772.08,225947.936,Ukraine,Belarus,Wheat,35.77208
1996,804,112,100510,1600.11,7581.718,Ukraine,Belarus,Maize,1.60011
1996,804,112,100590,11293.789,78991.624,Ukraine,Belarus,Maize,11.293789
1996,804,112,110100,24186.56,78861.44,Ukraine,Belarus,Wheat,24.18656
1996,804,112,110311,170.61,487.312,Ukraine,Belarus,Wheat,0.17061
1996,804,112,110313,163.139,369.125,Ukraine,Belarus,Maize,0.163139
1996,804,112,110321,0.799,2.0,Ukraine,Belarus,Wheat,0.000799
1996,804,112,110812,788.639,1614.937,Ukraine,Belarus,Maize,0.788639
1996,804,170,100590,8.008,40.0,Ukraine,Colombia,Maize,0.008008
1996,804,191,110313,9.83,19.949,Ukraine,Croatia,Maize,0.00983
1996,804,196,100590,913.844,4221.0,Ukraine,Cyprus,Maize,0.9138440000000001
1996,804,196,110100,32.759,131.128,Ukraine,Cyprus,Wheat,0.032759
1996,804,233,100110,36.275,189.363,Ukraine,Estonia,Wheat,0.036275
1996,804,233,100190,234.724,898.687,Ukraine,Estonia,Wheat,0.234724
1996,804,233,100590,35.837,245.935,Ukraine,Estonia,Maize,0.035837
1996,804,233,110100,608.537,2846.594,Ukraine,Estonia,Wheat,0.608537
1996,804,233,110220,1.1,5.0,Ukraine,Estonia,Maize,0.0011
1996,804,233,110311,5.646,16.853,Ukraine,Estonia,Wheat,0.005646
1996,804,233,110313,55.58,145.837,Ukraine,Estonia,Maize,0.05558
1996,804,268,100110,3397.542,3167.156,Ukraine,Georgia,Wheat,3.397542
1996,804,268,100190,828.159,5449.199,Ukraine,Georgia,Wheat,0.828159
1996,804,268,110100,1686.431,6554.39,Ukraine,Georgia,Wheat,1.686431
1996,804,268,110311,20.631,80.011,Ukraine,Georgia,Wheat,0.020631
1996,804,268,110313,4.42,6.812,Ukraine,Georgia,Maize,0.00442
1996,804,276,110311,1.125,3.974,Ukraine,Germany,Wheat,0.001125
1996,804,300,100190,6.664,19.8,Ukraine,Greece,Wheat,0.006664
1996,804,300,110100,9.943,40.0,Ukraine,Greece,Wheat,0.009943
